company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Element Solutions,941,0,2399.8,203.3,5300,Chemicals,Fort Lauderdale,FL,no,no,no,yes,,Benjamin Gliklich,https://www.elementsolutionsinc.com,ESI,5434.8
Portland General Electric,942,0,2396,244,2839,Energy,Portland,OR,no,no,yes,yes,,Maria M. Pope,https://www.portlandgeneral.com,POR,4940
REV Group,943,0,2380.8,44.4,6800,Motor Vehicles & Parts,Brookfield,WI,no,no,no,yes,,Rodney N. Rushing,https://www.revgroup.com,REVG,843.4
Acadia Healthcare,944,0,2376.9,190.6,19200,Health Care,Franklin,TN,no,no,no,yes,,Christopher H. Hunter,https://www.acadiahealthcare.com,ACHC,5891.3
Alexandria Real Estate Equities,945,0,2373.6,571.2,559,Financials,Pasadena,CA,no,no,no,yes,,Peter M. Moglia,https://www.are.com,ARE,32188.6
Nordson,946,0,2362.2,454.4,6813,Industrials,Westlake,OH,no,no,no,yes,,Sundaram Nagarajan,https://www.nordson.com,NDSN,13157.1
NewMarket,947,0,2356.1,190.9,2104,Chemicals,Richmond,VA,no,no,no,yes,,Thomas E. Gottwald,https://www.newmarket.com,NEU,3346.7
Ohio National Mutual,948,0,2346.5,-85.2,1082,Financials,Cincinnati,OH,no,no,yes,no,,Barbara Turner,https://www.ohionational.com,,
Stepan,949,0,2346,137.8,2439,Chemicals,Northbrook,IL,no,no,no,yes,,Scott R. Behrens,https://www.stepan.com,SCL,2215.6
Valhi,950,0,2335.4,127.2,2847,Chemicals,Dallas,TX,no,no,no,yes,,Robert D. Graham,https://www.valhi.net,VHI,828.8
Hilton Grand Vacations,951,0,2335,176,13000,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes,,Mark D. Wang,https://www.hgv.com,HGV,6247.9
Cooper-Standard Holdings,952,0,2330.2,-322.8,21300,Motor Vehicles & Parts,Northville,MI,no,no,no,no,,Jeffrey S. Edwards,https://www.cooperstandard.com,CPS,149
Etsy,953,0,2329.1,493.5,2402,Technology,Brooklyn,NY,no,no,no,yes,,Josh Silverman,https://www.etsy.com,ETSY,12423
Crocs,954,0,2313.4,725.7,5770,Apparel,Broomfield,CO,no,no,no,yes,,Andrew Rees,https://www.crocs.com,CROX,4811
Olympic Steel,955,0,2312.3,121.1,1642,Materials,Highland Hills,OH,no,no,no,yes,,Richard T. Marabito,https://www.olysteel.com,ZEUS,427.8
Signature Bank,956,0,2311.3,918.4,1854,Financials,New York,NY,no,yes,no,yes,,Joseph J. DePaolo,https://www.signatureny.com,SBNY,18416.9
SBA Communications,957,0,2308.8,237.6,1596,Financials,Boca Raton,FL,no,no,no,yes,,Jeffrey A. Stoops,https://www.sbasite.com,SBAC,37168.7
Murphy Oil,958,0,2300.1,-73.7,696,Energy,Houston,TX,no,no,no,no,,Roger W. Jenkins,https://www.murphyoilcorp.com,MUR,6275.3
Entegris,959,0,2298.9,409.1,6850,Technology,Billerica,MA,no,no,no,yes,,Bertrand Loy,https://www.entegris.com,ENTG,17830.9
AvalonBay Communities,960,0,2294.9,1004.3,2883,Financials,Arlington,VA,no,no,no,yes,,Benjamin W. Schall,https://www.avalonbay.com,AVB,34710.3
Saia,961,0,2288.7,253.2,11600,Transportation,Johns Creek,GA,no,no,no,yes,,Frederick J. Holzgrefe III,https://www.saia.com,SAIA,6438.4
E.W. Scripps,962,0,2283.5,122.7,5600,Media,Cincinnati,OH,no,no,no,yes,,Adam Symson,https://www.scripps.com,SSP,1154
TTEC Holdings,963,0,2273.1,141,65000,Technology,Englewood,CO,no,yes,no,yes,,Kenneth D. Tuchman,https://www.ttec.com,TTEC,3878
Sun Communities,964,0,2272.6,380.2,5455,Financials,Southfield,MI,no,no,no,yes,,Gary A. Shiffman,https://www.suncommunities.com,SUI,20372.8
Alpha Metallurgical Resources,965,0,2258.6,288.8,3500,Energy,Bristol,TN,no,no,no,yes,,David J. Stetson,https://www.alphametresources.com,AMR,2447.5
GEO Group,966,0,2256.6,77.4,15800,Business Services,Boca Raton,FL,no,no,no,yes,,Jose Gordo,https://www.geogroup.com,GEO,809.8
Viasat,967,0,2256.1,3.7,5800,Technology,Carlsbad,CA,no,no,no,yes,,Mark D. Dankberg,https://www.viasat.com,VSAT,3630.4
Benchmark Electronics,968,0,2255.3,35.8,10900,Technology,Tempe,AZ,no,no,no,yes,,Jeffrey W. Benck,https://www.bench.com,BHE,881.4
Kar Auction Services,969,0,2251.6,66.5,8928,Wholesalers,Carmel,IN,no,no,no,yes,,Peter J. Kelly,https://www.karglobal.com,KAR,2187.3
TTM Technologies,970,0,2248.7,54.4,16100,Technology,Santa Ana,CA,no,no,no,yes,,Thomas T. Edman,https://www.ttm.com,TTMI,1506.2
Kirby,971,0,2246.7,-247,5125,Transportation,Houston,TX,no,no,no,no,,David W. Grzebinski,https://www.kirbycorp.com,KEX,4345.9
Woodward,972,0,2245.8,208.6,7200,Aerospace & Defense,Fort Collins,CO,no,no,no,yes,,Charles Blankenship Jr.,https://www.woodward.com,WWD,7882.4
Clear Channel Outdoor Holdings,973,0,2241.1,-433.8,4600,Business Services,San Antonio,TX,no,no,no,no,,Scott R. Wells,https://www.clearchanneloutdoor.com,CCO,1630.9
Spire,974,0,2235.5,271.7,3710,Energy,St. Louis,MO,no,no,yes,yes,,Suzanne Sitherwood,https://www.spireenergy.com,SR,3713.6
Vista Outdoor,975,0,2225.5,266,5900,Business Services,Anoka,MN,no,no,no,yes,,Christopher T. Metz,https://www.vistaoutdoor.com,VSTO,2007.9
Surgery Partners,976,0,2225.1,-70.9,9600,Health Care,Brentwood,TN,no,no,no,no,,J. Eric Evans,https://www.surgerypartners.com,SGRY,4919.1
LHC Group,977,0,2219.6,115.7,23000,Health Care,Lafayette,LA,no,yes,no,yes,,Keith G. Myers,https://www.lhcgroup.com,LHCG,5229.6
Amedisys,978,0,2214.1,209.1,21000,Health Care,Baton Rouge,LA,no,no,no,yes,,Christopher T. Gerard,https://www.amedisys.com,AMED,5603.9
Century Aluminum,979,0,2212.5,-167.1,2512,Materials,Chicago,IL,no,no,no,no,,Jesse E. Gary,https://www.centuryaluminum.com,CENX,2400.3
Arch Resources,980,0,2208,337.6,3303,Energy,St. Louis,MO,no,no,no,yes,,Paul A. Lang,https://www.archrsc.com,ARCH,2126.2
Aerojet Rocketdyne Holdings,981,0,2188,143.7,5000,Aerospace & Defense,El Segundo,CA,no,no,yes,yes,,Eileen P. Drake,https://www.aerojetrocketdyne.com,AJRD,3169.4
